1769,Ayesha,Assalam O Alaikum,Tue May 13 23:06:01 2025
1770,Abeeha,Walaikum Assalam,Tue May 13 23:07:04 2025
1771,Ibrahim,Wasalaam,Tue May 13 23:07:49 2025
1769,Ayesha,Aur sunao bacho kia haal h?,Tue May 13 23:08:09 2025
1770,Abeeha,G hum thk hn Allah ka shukr!,Tue May 13 23:08:28 2025
1771,Ibrahim,Alhumdullilah ap sunaein,Tue May 13 23:08:54 2025
1769,Ayesha,g m b thk hn Allah pak ka ehsaan h,Tue May 13 23:09:17 2025
1770,Abeeha,Allah Hafiz,Tue May 13 23:12:02 2025
1771,Ibrahim,Allah Nigehban ,Tue May 13 23:12:34 2025
1769,Ayesha,Khuda ki aman bacho !,Tue May 13 23:12:53 2025
